,sctg2,rmse,iter_count,top_rop,top_attr,top_orig,top_dest,threshold
0,1,661.9442529281238,1,"[120970438001.0, 120970438003.0, 121079506003.0, 120970438004.0, 120939101021.0, 120939101022.0, 120970438002.0, 120939101011.0, 120950167041.0, 121113822002.0]","[121079506003.0, 120210102102.0, 120111106001.0, 120310027011.0, 120310103011.0, 121050116062.0, 120150304012.0, 120310003003.0, 120990037002.0, 121150020052.0]","[121079506003, 120970438003, 120970438001, 120970438004, 120939101011, 121113822004, 120970438002, 120939101022, 120950167041, 120990037002]","[121079506003, 121050116062, 121079506003, 121079506003, 120710017033, 121050143021, 121079506003, 121079506003, 121079506003, 121079506003]",1000
1,2,411.7160844464458,1,"[121050116062.0, 120090650011.0, 120710014012.0, 120710017033.0, 120810008052.0, 120730025091.0, 120510006001.0, 121050122041.0, 120810019141.0, 121050131031.0]","[121050116062.0, 120090650011.0, 120710014012.0, 120710017033.0, 120810008052.0, 120730025091.0, 120150304012.0, 121150020052.0, 120210109053.0, 121050122041.0]","[121050116062, 120090650011, 120710017033, 120710014012, 120730025091, 120810008052, 120910228001, 120330016001, 120810020101, 120510002002]","[121050116062, 120090650011, 120710017033, 120710014012, 120730025091, 120810008052, 120910228001, 120330016001, 120810008052, 121050157021]",1000
2,3,135185.32152846476,1,"[120990079121.0, 120990080021.0, 120610509023.0, 121150020102.0, 120110601204.0, 120990083011.0, 120860052023.0, 120990058081.0, 120111106001.0, 120860090401.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[120610502004, 121050116062, 120570125013, 120990079121, 120950169023, 120990079121, 121170206001, 120939101011, 120860091002, 120990080021]","[120090650011, 121050116062, 120570125013, 120710104073, 121050116062, 121050116062, 121170206001, 120710017033, 121050131031, 120710104073]",1000
3,3,143264.10746549736,2,"[120990079121.0, 121150020102.0, 120990080021.0, 120610509023.0, 120950169023.0, 121050116062.0, 120110601204.0, 120570125013.0, 121270823011.0, 120990083011.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120950169023, 120570125013, 120990079121, 120610502004, 121170206001, 121270823011, 120950170081, 120810020101, 120990079121]","[121050116062, 121050116062, 120570125013, 120710104073, 120090650011, 121170206001, 121050116062, 120950170081, 120810008052, 121050116062]",1000
4,3,141162.83723177973,3,"[120990079121.0, 120990080021.0, 120610509023.0, 121150020102.0, 120110601204.0, 120990083011.0, 120860052023.0, 120990058081.0, 120111106001.0, 120860090401.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120610502004, 120570125013, 120990079121, 120950169023, 120990079121, 121170206001, 120939101011, 120990080021, 120990079121]","[121050116062, 120090650011, 120570125013, 120710104073, 121050116062, 121050116062, 121170206001, 120710017033, 120710104073, 121050122041]",1000
5,3,141400.49445792404,4,"[120990079121.0, 121150020102.0, 120990080021.0, 120610509023.0, 120950169023.0, 120110601204.0, 121050116062.0, 120570125013.0, 120990083011.0, 120860052023.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[120950169023, 121050116062, 120570125013, 120990079121, 120610502004, 121170206001, 121270823011, 120950170081, 120990079121, 120310027011]","[121050116062, 121050116062, 120570125013, 120710104073, 120090650011, 121170206001, 121050116062, 120950170081, 121050116062, 121050157021]",1000
6,3,141732.63500574962,5,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120860052023.0, 120990058081.0, 120111106001.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120610502004, 120570125013, 120990079121, 120950169023, 120990079121, 121170206001, 120939101011, 120990080021, 120990079121]","[121050116062, 120090650011, 120570125013, 120710104073, 121050116062, 121050116062, 121170206001, 120710017033, 120710104073, 121050122041]",1000
7,3,141106.377789456,6,"[120990079121.0, 121150020102.0, 120990080021.0, 120610509023.0, 120110601204.0, 120950169023.0, 121050116062.0, 120990083011.0, 120570125013.0, 120860052023.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[120950169023, 121050116062, 120570125013, 120610502004, 120990079121, 121170206001, 121270823011, 120990079121, 120950170081, 120310027011]","[121050116062, 121050116062, 120570125013, 120090650011, 120710104073, 121170206001, 121050116062, 121050116062, 120950170081, 121050157021]",1000
8,3,142101.094637947,7,"[120990079121.0, 120990080021.0, 121150020102.0, 120610509023.0, 120110601204.0, 120990083011.0, 121050116062.0, 120860052023.0, 120990058081.0, 120111106001.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[121050116062, 120570125013, 120610502004, 120990079121, 120950169023, 120990079121, 121170206001, 120939101011, 120990080021, 120610509041]","[121050116062, 120570125013, 120090650011, 120710104073, 121050116062, 121050116062, 121170206001, 120710017033, 120710104073, 120950169023]",1000
9,3,141087.07243000987,8,"[120990079121.0, 121150020102.0, 120990080021.0, 120610509023.0, 120110601204.0, 120950169023.0, 121050116062.0, 120990083011.0, 120860052023.0, 120990058081.0]","[121150020102.0, 120010022173.0, 121050116062.0, 120010012032.0, 121050122051.0, 120710401181.0, 120090647005.0, 120710104073.0, 120710016014.0, 120010022052.0]","[120950169023, 121050116062, 120570125013, 120610502004, 120990079121, 121170206001, 121270823011, 120990079121, 120950170081, 120310027011]","[121050116062, 121050116062, 120570125013, 120090650011, 120710104073, 121170206001, 121050116062, 121050116062, 120950170081, 121050157021]",1000
